instruction_id,genre_raw,genre_candidates,genre_candidate_labels,genre_norm,reason
11396_34249_0,Beach/summer fiction,"[""beach"", ""summer fiction""]",[],other,no top-label rule matched
15421_55306_0,Linguistics,"[""linguistics""]",[],other,no top-label rule matched
13415_24351_0,,[],[],other,missing genre_raw
19cTexts_1870-79_EdwaELF_batch356,"Non-fiction, historical account","[""non fiction"", ""historical account""]","[""nonfiction_essay"", ""historical""]",nonfiction_essay,compound genre maps to multiple normalized labels
21429_73708_0,Cultural analysis,"[""cultural analysis""]",[],other,no top-label rule matched
19cTexts_1860-69_LeveCLA_batch174,,[],[],other,missing genre_raw
12276_40158_0,,[],[],other,missing genre_raw
3499_15127_0,Family fiction,"[""family fiction""]",[],other,no top-label rule matched
55_53896_0,"Fantasy, children's literature","[""fantasy"", ""children s literature""]","[""speculative"", ""children_young_adult""]",speculative,compound genre maps to multiple normalized labels
63998_1482_1,Anthropological text,"[""anthropological text""]",[],other,no top-label rule matched
1144_115667_1,,[],[],other,missing genre_raw
16413_58019_0,Descriptive prose,"[""descriptive prose""]",[],other,no top-label rule matched
32245_76329_0,"Fiction, Romance","[""fiction"", ""romance""]","[""general_fiction"", ""romance""]",general_fiction,compound genre maps to multiple normalized labels
270_111250_0,"Fantasy, children's literature","[""fantasy"", ""children s literature""]","[""speculative"", ""children_young_adult""]",speculative,compound genre maps to multiple normalized labels
14144_52100_0,Scientific literature,"[""scientific literature""]",[],other,no top-label rule matched
12246_39693_0,,[],[],other,missing genre_raw
6833_8234_0,,[],[],other,missing genre_raw
19cTexts_1830-39_ClarGE4_batch778,Biographical,"[""biographical""]",[],other,no top-label rule matched
1097_57185_0,,[],[],other,missing genre_raw
20061_70606_0,"Slice of life, romance","[""slice of life"", ""romance""]","[""general_fiction"", ""romance""]",general_fiction,compound genre maps to multiple normalized labels
20253_71454_0,"Fiction, possibly romance","[""fiction"", ""possibly romance""]","[""general_fiction"", ""romance""]",general_fiction,compound genre maps to multiple normalized labels
11879_36983_0,,[],[],other,missing genre_raw
11494_34940_0,Moral tale,"[""moral tale""]",[],other,no top-label rule matched
19cTexts_1840-49_OwenRLC_batch104,Scientific or biological text,"[""scientific or biological text""]",[],other,no top-label rule matched
20639_72123_0,,[],[],other,missing genre_raw
2807_74537_0,"Mystery, adventure","[""mystery"", ""adventure""]","[""mystery_crime"", ""adventure""]",mystery_crime,compound genre maps to multiple normalized labels
2393_131412_0,Animal fiction,"[""animal fiction""]",[],other,no top-label rule matched
11302_33210_0,Instructional manual,"[""instructional manual""]",[],other,no top-label rule matched
11767_36786_0,Personal letter,"[""personal letter""]",[],other,no top-label rule matched
12844_45570_0,,[],[],other,missing genre_raw
19cTexts_1840-49_LeveCSP_batch78,,[],[],other,missing genre_raw
642_120268_1,,[],[],other,missing genre_raw
61960_78698_0,Animal fable,"[""animal fable""]",[],other,no top-label rule matched
2860_49778_0,Political fiction,"[""political fiction""]",[],other,no top-label rule matched
11207_32250_0,Speech,"[""speech""]",[],other,no top-label rule matched
1026_36366_0,Diary or journal entry,"[""diary or journal entry""]",[],other,no top-label rule matched
910_113496_0,Animal fiction,"[""animal fiction""]",[],other,no top-label rule matched
14236_52189_0,,[],[],other,missing genre_raw
19cTexts_1830-39_WilbRLW2_batch138,Political literature,"[""political literature""]",[],other,no top-label rule matched
64676_1622_0,Oral storytelling,"[""oral storytelling""]",[],other,no top-label rule matched
12999_46899_0,,[],[],other,missing genre_raw
17889_64310_0,Opera libretto,"[""opera libretto""]",[],other,no top-label rule matched
8669_17684_0,Sentimental fiction,"[""sentimental fiction""]",[],other,no top-label rule matched
910_113471_0,Animal fiction,"[""animal fiction""]",[],other,no top-label rule matched
320_298_1,,[],[],other,missing genre_raw
14816_53563_0,,[],[],other,missing genre_raw
19cTexts_1880-89_FarrFLF_batch455,Sermon,"[""sermon""]",[],other,no top-label rule matched
5095_1381_0,"Adventure, science fiction","[""adventure"", ""science fiction""]","[""adventure"", ""speculative""]",adventure,compound genre maps to multiple normalized labels
12331_40440_0,Surreal fiction,"[""surreal fiction""]",[],other,no top-label rule matched
14995_53811_1,Political fiction,"[""political fiction""]",[],other,no top-label rule matched
271_54097_0,Moralistic fiction,"[""moralistic fiction""]",[],other,no top-label rule matched
3185_31880_0,,[],[],other,missing genre_raw
19cTexts_1860-69_FarrACH_batch294,Theological text,"[""theological text""]",[],other,no top-label rule matched
6648_7103_0,Epic,"[""epic""]",[],other,no top-label rule matched
910_113506_0,Animal fiction,"[""animal fiction""]",[],other,no top-label rule matched
19cTexts_1800-09_ScotWMS1_batch139,Ballad,"[""ballad""]",[],other,no top-label rule matched
14622_53239_0,,[],[],other,missing genre_raw
15845_56902_0,Literary analysis,"[""literary analysis""]",[],other,no top-label rule matched
19cTexts_1850-59_BarnPLP_batch64,,[],[],other,missing genre_raw
20006_70488_0,,[],[],other,missing genre_raw
2947_55520_0,,[],[],other,missing genre_raw
12726_44133_0,"Fiction, social commentary","[""fiction"", ""social commentary""]","[""general_fiction"", ""nonfiction_essay""]",general_fiction,compound genre maps to multiple normalized labels
141_69932_0,"Fiction, possibly domestic drama","[""fiction"", ""possibly domestic drama""]","[""general_fiction"", ""drama""]",general_fiction,compound genre maps to multiple normalized labels
