instruction_id,enunciation_raw,enunciation_norm,reason
12246_39693_0,,other,missing enunciation_raw
6833_8234_0,,other,missing enunciation_raw
1097_57185_0,Mr. Wegg and Mr. Boffin are speaking in the text,dialogue,mentions speech/speaking without explicit dialogue
7240_11165_0,Edmund and Edgar are speaking to each other,dialogue,mentions speech/speaking without explicit dialogue
11207_32250_0,Speaker addressing the audience,other,no first-pass rule matched
9049_22064_0,Primislaus and Libussa,other,no first-pass rule matched
10909_30160_0,Don Martin and Don Pedro are speaking to each other,dialogue,mentions speech/speaking without explicit dialogue
7996_14122_0,Rustan and Zanga speaking to each other,dialogue,mentions speech/speaking without explicit dialogue
19cTexts_1800-09_RamsDM_batch89,George Washington,other,no first-pass rule matched
49685_78096_0,,other,missing enunciation_raw
19024_67205_1,,other,missing enunciation_raw
20783_72495_0,,other,missing enunciation_raw
12459_41771_0,,other,missing enunciation_raw
7232_11014_0,Juliette and the Amme are speaking,dialogue,mentions speech/speaking without explicit dialogue
7264_11320_0,Oberon and Titania,other,no first-pass rule matched
6593_18151_1,Partridge and Jones are speaking,dialogue,mentions speech/speaking without explicit dialogue
7323_11654_0,Bolingbroke and Northumberland are speaking,dialogue,mentions speech/speaking without explicit dialogue
13247_50224_0,Cardinal Mercier,other,no first-pass rule matched
134_137986_0,The author speaking about their own work,dialogue,mentions speech/speaking without explicit dialogue
6496_5852_0,"Don Cesar, Don Manuel, Isabella",other,no first-pass rule matched
20999_72910_0,"D. Carlos, Izabel, D. Emilio, D. Ramon",other,no first-pass rule matched
24020_62136_1,Tito is speaking to Bernardo,dialogue,mentions speech/speaking without explicit dialogue
7240_11216_0,"Cordelia, Kent, doctor",other,no first-pass rule matched
5880_4822_0,Jesus speaking,dialogue,mentions speech/speaking without explicit dialogue
17410_61839_0,Two hermits speaking to each other,dialogue,mentions speech/speaking without explicit dialogue
7267_11375_0,The narrator is speaking directly to the new servant,dialogue,mentions speech/speaking without explicit dialogue
44217_77968_0,Margus and his grandmother are speaking,dialogue,mentions speech/speaking without explicit dialogue
19cTexts_1860-69_HanaPAL_batch76,"Abraham Lincoln, President of the United States",other,no first-pass rule matched
5178_3134_0,"Sganarelle, Gronimo",other,no first-pass rule matched
19cTexts_1880-89_DextHCL_batch1137,Various authors speaking in their own works,dialogue,mentions speech/speaking without explicit dialogue
12782_44825_0,Napoleon Bonaparte is speaking in the text,dialogue,mentions speech/speaking without explicit dialogue
9260_23000_0,"Prometheus, Epimetheus, Minerva",other,no first-pass rule matched
49685_78041_0,,other,missing enunciation_raw
19cTexts_1850-59_GaskELC_batch78,Charlotte speaking to E,dialogue,mentions speech/speaking without explicit dialogue
8738_17944_0,,other,missing enunciation_raw
19cTexts_1880-89_DextHCL_batch749,,other,missing enunciation_raw
9453_23899_0,Characters are speaking to each other,dialogue,mentions speech/speaking without explicit dialogue
12246_39689_0,,other,missing enunciation_raw
19cTexts_1880-89_DextHCL_batch799,Various speakers and authors,other,no first-pass rule matched
15582_56200_0,,other,missing enunciation_raw
19cTexts_1810-19_WilkJMM2_batch639,Multiple individuals speaking in the form of questions and answers,dialogue,mentions speech/speaking without explicit dialogue
9158_22679_0,,other,missing enunciation_raw
49685_78019_0,,other,missing enunciation_raw
